sourceItemServiceId,targetItemServiceId
6201,11980
6202,12020
6203,11902
6204,11964
6205,11963
6206,11959
6207,11849
6208,12020
6209,11958
6210,1519
6211,11867
6212,11868
6213,11953
6214,11889
6215,11891
6216,11965
6217,11930
6218,11983
6219,11937
6220,11870
6221,12012
6222,11977
6223,3404
6224,11979
6225,11898
6226,11622
6227,3372
